zipcode,city,state,country
110001,Delhi,Delhi,India
110002,Delhi,Delhi,India
110003,Delhi,Delhi,India
110004,Delhi,Delhi,India
110005,Delhi,Delhi,India
110006,Delhi,Delhi,India
110007,Delhi,Delhi,India
110008,Delhi,Delhi,India
110009,Delhi,Delhi,India
110010,Delhi,Delhi,India
110011,Delhi,Delhi,India
110012,Delhi,Delhi,India
110013,Delhi,Delhi,India
110014,Delhi,Delhi,India
110015,Delhi,Delhi,India
110016,Delhi,Delhi,India
110017,Delhi,Delhi,India
110018,Delhi,Delhi,India
110019,Delhi,Delhi,India
110020,Delhi,Delhi,India
110021,Delhi,Delhi,India
110022,Delhi,Delhi,India
110023,Delhi,Delhi,India
110024,Delhi,Delhi,India
110025,Delhi,Delhi,India
110026,Delhi,Delhi,India
110027,Delhi,Delhi,India
110028,Delhi,Delhi,India
110029,Delhi,Delhi,India
110030,Delhi,Delhi,India
110031,Delhi,Delhi,India
110032,Delhi,Delhi,India
110033,Delhi,Delhi,India
110034,Delhi,Delhi,India
110035,Delhi,Delhi,India
110036,Delhi,Delhi,India
110037,Delhi,Delhi,India
110038,Delhi,Delhi,India
110039,Delhi,Delhi,India
110040,Delhi,Delhi,India
110041,Delhi,Delhi,India
110042,Delhi,Delhi,India
110043,Delhi,Delhi,India
110044,Delhi,Delhi,India
110045,Delhi,Delhi,India
110046,Delhi,Delhi,India
110047,Delhi,Delhi,India
110048,Delhi,Delhi,India
110049,Delhi,Delhi,India
110051,Delhi,Delhi,India
110052,Delhi,Delhi,India
110053,Delhi,Delhi,India
110054,Delhi,Delhi,India
110055,Delhi,Delhi,India
110056,Delhi,Delhi,India
110057,Delhi,Delhi,India
110058,Delhi,Delhi,India
110059,Delhi,Delhi,India
110060,Delhi,Delhi,India
110061,Delhi,Delhi,India
110062,Delhi,Delhi,India
110063,Delhi,Delhi,India
110064,Delhi,Delhi,India
110065,Delhi,Delhi,India
110066,Delhi,Delhi,India
110067,Delhi,Delhi,India
110068,Delhi,Delhi,India
110069,Delhi,Delhi,India
110070,Delhi,Delhi,India
110071,Delhi,Delhi,India
110072,Delhi,Delhi,India
110073,Delhi,Delhi,India
110074,Delhi,Delhi,India
110075,Delhi,Delhi,India
110076,Delhi,Delhi,India
110077,Delhi,Delhi,India
110078,Delhi,Delhi,India
110080,Delhi,Delhi,India
110081,Delhi,Delhi,India
110082,Delhi,Delhi,India
110083,Delhi,Delhi,India
110084,Delhi,Delhi,India
110085,Delhi,Delhi,India
110086,Delhi,Delhi,India
110087,Delhi,Delhi,India
110088,Delhi,Delhi,India
110089,Delhi,Delhi,India
110090,Delhi,Delhi,India
110091,Delhi,Delhi,India
110092,Delhi,Delhi,India
110093,Delhi,Delhi,India
110094,Delhi,Delhi,India
110095,Delhi,Delhi,India
110096,Delhi,Delhi,India
110097,Delhi,Delhi,India
121001,Ambala  ,Haryana,India
121002,Ambala  ,Haryana,India
121003,Ambala  ,Haryana,India
121004,Ambala  ,Haryana,India
121005,Ambala  ,Haryana,India
121006,Ambala  ,Haryana,India
121007,Ambala  ,Haryana,India
121008,Ambala  ,Haryana,India
121009,Ambala  ,Haryana,India
121010,Ambala  ,Haryana,India
121012,Ambala  ,Haryana,India
121013,Ambala  ,Haryana,India
121101,Ambala  ,Haryana,India
121102,Ambala  ,Haryana,India
121103,Ambala  ,Haryana,India
121105,Ambala  ,Haryana,India
121106,Ambala  ,Haryana,India
121107,Ambala  ,Haryana,India
122001,Ambala  ,Haryana,India
122002,Ambala  ,Haryana,India
122003,Ambala  ,Haryana,India
122004,Ambala  ,Haryana,India
122005,Ambala  ,Haryana,India
122006,Ambala  ,Haryana,India
122007,Ambala  ,Haryana,India
122008,Ambala  ,Haryana,India
122009,Ambala  ,Haryana,India
122010,Ambala  ,Haryana,India
122011,Ambala  ,Haryana,India
122015,Ambala  ,Haryana,India
122016,Ambala  ,Haryana,India
122017,Ambala  ,Haryana,India
122018,Ambala  ,Haryana,India
122051,Ambala  ,Haryana,India
122052,Ambala  ,Haryana,India
122101,Ambala  ,Haryana,India
122102,Ambala  ,Haryana,India
122103,Ambala  ,Haryana,India
122104,Ambala  ,Haryana,India
122105,Ambala  ,Haryana,India
122107,Ambala  ,Haryana,India
122108,Ambala  ,Haryana,India
122413,Ambala  ,Haryana,India
122414,Ambala  ,Haryana,India
122502,Ambala  ,Haryana,India
122503,Ambala  ,Haryana,India
122504,Ambala  ,Haryana,India
122505,Ambala  ,Haryana,India
122506,Ambala  ,Haryana,India
122508,Ambala  ,Haryana,India
123001,Ambala  ,Haryana,India
123021,Ambala  ,Haryana,India
123023,Ambala  ,Haryana,India
123024,Ambala  ,Haryana,India
123027,Ambala  ,Haryana,India
123028,Ambala  ,Haryana,India
123029,Ambala  ,Haryana,India
123034,Ambala  ,Haryana,India
123035,Ambala  ,Haryana,India
123101,Ambala  ,Haryana,India
123102,Ambala  ,Haryana,India
123103,Ambala  ,Haryana,India
123106,Ambala  ,Haryana,India
123110,Ambala  ,Haryana,India
123301,Ambala  ,Haryana,India
123302,Ambala  ,Haryana,India
123303,Ambala  ,Haryana,India
123401,Ambala  ,Haryana,India
123411,Ambala  ,Haryana,India
123412,Ambala  ,Haryana,India
123501,Ambala  ,Haryana,India
124001,Ambala  ,Haryana,India
124010,Ambala  ,Haryana,India
124021,Ambala  ,Haryana,India
124022,Ambala  ,Haryana,India
124102,Ambala  ,Haryana,India
124103,Ambala  ,Haryana,India
124104,Ambala  ,Haryana,India
124105,Ambala  ,Haryana,India
124106,Ambala  ,Haryana,India
124107,Ambala  ,Haryana,India
124108,Ambala  ,Haryana,India
124109,Ambala  ,Haryana,India
124111,Ambala  ,Haryana,India
124112,Ambala  ,Haryana,India
124113,Ambala  ,Haryana,India
124141,Ambala  ,Haryana,India
124142,Ambala  ,Haryana,India
124146,Ambala  ,Haryana,India
124201,Ambala  ,Haryana,India
124202,Ambala  ,Haryana,India
124303,Ambala  ,Haryana,India
124401,Ambala  ,Haryana,India
